"X","M","Y","a","a_CI_Low","a_CI_High","b","b_CI_Low","b_CI_High","Direct_c","Direct_T","Direct_P","Direct_CI_Low","Direct_CI_High","Direct_Sig","Direct_T_Sig","Direct_P_Sig","Direct_Mismatch","Indirect_ab","Indirect_T","Indirect_P","Indirect_CI_Low","Indirect_CI_High","Indirect_Sig","Indirect_T_Sig","Indirect_P_Sig","Indirect_Mismatch","Total","Total_CI_Low","Total_CI_High","VAF","Classification","Notes"
"COM","AJ","AQ",0.135,-0.014,0.334,0.42,0.271,0.571,0.101,1.701,0.0856,-0.012,0.233,FALSE,FALSE,FALSE,FALSE,0.057,1.64,0.076,-0.005,0.152,FALSE,FALSE,FALSE,FALSE,0.158,0.037,0.312,0.361,"No-effect",""
"PS","AJ","AQ",0.268,0.085,0.435,0.42,0.271,0.571,0.005,0.078,0.9198,-0.124,0.13,FALSE,FALSE,FALSE,FALSE,0.112,2.528,0.0032,0.033,0.195,TRUE,TRUE,TRUE,FALSE,0.117,-0.026,0.248,0.958,"Indirect-only (full mediation)",""
"MO","AJ","AQ",0.026,-0.062,0.125,0.42,0.271,0.571,-0.02,-0.521,0.5971,-0.084,0.049,FALSE,FALSE,FALSE,FALSE,0.011,0.596,0.5291,-0.026,0.053,FALSE,FALSE,FALSE,FALSE,-0.009,-0.077,0.07,NA,"No-effect",""
"TP","AJ","AQ",0.147,0.046,0.249,0.42,0.271,0.571,-0.04,-1.175,0.23,-0.108,0.026,FALSE,FALSE,FALSE,FALSE,0.062,2.541,0.0068,0.018,0.113,TRUE,TRUE,TRUE,FALSE,0.022,-0.053,0.096,2.835,"Indirect-only (full mediation)",""
"IT","AJ","AQ",0.128,-0.011,0.252,0.42,0.271,0.571,0,-0.001,0.9998,-0.091,0.09,FALSE,FALSE,FALSE,FALSE,0.054,1.675,0.068,-0.004,0.114,FALSE,FALSE,FALSE,FALSE,0.054,-0.05,0.152,1,"No-effect",""
"CC","AJ","AQ",0.157,-0.013,0.291,0.42,0.271,0.571,0.147,2.377,0.0148,0.026,0.267,TRUE,TRUE,TRUE,FALSE,0.066,1.728,0.072,-0.005,0.132,FALSE,FALSE,FALSE,FALSE,0.213,0.078,0.332,0.311,"Direct-only (no mediation)",""
"CG","AJ","AQ",0.146,0.05,0.266,0.42,0.271,0.571,0.055,1.331,0.1716,-0.025,0.145,FALSE,FALSE,FALSE,FALSE,0.061,2.475,0.0024,0.02,0.122,TRUE,TRUE,TRUE,FALSE,0.116,0.035,0.216,0.529,"Indirect-only (full mediation)",""
