"Construct","Indicator","Loading"
"PS","PS1",0.857
"PS","PS2",0.848
"PS","PS3",0.917
"PS","PS4",0.85
"PS","PS5",0.889
"TP","TP1",0.784
"TP","TP2",0.561
"TP","TP4",0.933
"IT","IT1",0.92
"IT","IT2",0.916
"IT","IT3",0.869
"IT","IT4",0.733
"CC","CC1",0.807
"CC","CC2",0.916
"CC","CC3",0.859
"CC","CC4",0.868
"CC","CC5",0.801
"AJ","AJ1",0.845
"AJ","AJ2",0.886
"AJ","AJ3",0.911
